z-value,Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12
0.0,8.333333333333334,16.666666666666668,25.0,33.333333333333336,41.666666666666664,50.0,58.333333333333336,66.66666666666667,75.0,83.33333333333333,91.66666666666667,100.0
0.5,8.679396671173413,17.343740194114698,25.978055697784864,34.56752418751376,43.097558796358285,51.55387903514901,59.92258241187402,68.19021282265155,76.34382515512098,84.37104559004003,92.26012713753069,100.0
1.0,9.728215311670358,19.389146419618168,28.91690199418016,38.248328507162604,47.32426157128338,56.090642518800294,64.49946540442265,72.50952748028438,80.08696509078177,87.20556635624432,93.84686142814958,100.0
1.5,11.481775545623183,22.785772517928013,33.74242764442699,44.19797878330913,54.02085898859528,63.10646170108628,71.38000632817545,78.79741931730409,85.34432796345867,91.03342148997622,95.90055025510725,100.0
2.0,13.867752940628842,27.35645802296168,40.11786573259434,51.86119033692478,62.37227895975765,71.52327720109064,79.27241488195428,85.6550850276495,90.76855285460339,94.75322634936452,97.77341465173873,100.0
2.5,16.710664633596338,32.71406286149464,47.39146445741787,60.28299829577358,71.12672143531563,79.8618763150388,86.60065349003366,91.57928294111483,95.10182870317978,97.48865885107058,99.03749081550363,100.0
3.0,19.794706808098642,38.39615404032502,54.82253920013682,68.45376040656963,79.08355473637484,86.87309939798628,92.23719023030655,95.70836668195317,97.81919735291574,99.02541536140019,99.6731445161666,100.0
3.5,22.956530942246467,44.05360357851618,61.87139560105251,75.7007194624255,85.56494112660444,92.03098679463811,95.92616969329355,98.08256798919246,99.17965447075467,99.6925891425756,99.91297866416475,100.0
4.0,26.113386050376636,49.50462823672091,68.27327381243991,81.7629351222089,90.44765872478247,95.45602003175385,98.04314457055449,99.24021000786351,99.73633794103092,99.92051714708595,99.98175981499496,100.0
4.5,29.234151990729845,54.67490105951022,73.94159903140589,86.63914848924112,93.92136587514905,97.55576839421593,99.1341839785028,99.73069809829926,99.92686334678106,99.98299596203645,99.99697216648056,100.0
5.0,32.30779462002229,59.53435793850596,78.87009048309976,90.4419813961093,96.27797015848569,98.75812355318746,99.6462634796939,99.91424521451151,99.98237386316907,99.99696646919875,99.9995997084275,100.0
5.5,35.328703380163226,64.06826860029969,83.08685868529903,93.32470202742705,97.80751518480963,99.40405112826794,99.86649712858623,99.97543051898631,99.99629645020259,99.99954617623786,99.99995764844462,100.0
